,0,1,2
152,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
153,1.760470397690263e-05,3.450179409329285e-05,4.0388537732991375e-05
154,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
155,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
156,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
157,1.760470397690263e-05,6.90035881865857e-05,2.0194268866495687e-05
158,5.2814111930707886e-05,8.625448523323213e-05,2.0194268866495687e-05
159,3.520940795380526e-05,0.00010350538227987855,4.0388537732991375e-05
160,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
161,3.520940795380526e-05,3.450179409329285e-05,2.0194268866495687e-05
162,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
163,3.520940795380526e-05,3.450179409329285e-05,2.0194268866495687e-05
164,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
165,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
166,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
167,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
168,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
169,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
170,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
171,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
172,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
173,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
174,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
175,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
176,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
177,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
178,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
179,3.520940795380526e-05,3.450179409329285e-05,2.0194268866495687e-05
180,1.760470397690263e-05,1.7250897046646426e-05,8.077707546598275e-05
181,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
182,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
183,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
184,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
185,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
186,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
187,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
188,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
189,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
190,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
191,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
192,1.760470397690263e-05,8.625448523323213e-05,2.0194268866495687e-05
193,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
194,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
195,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
196,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
197,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
198,1.760470397690263e-05,1.7250897046646426e-05,6.058280659948707e-05
199,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
200,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
201,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
202,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
203,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
204,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
205,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
206,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
207,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
208,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
209,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
210,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
211,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
212,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
213,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
214,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
215,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
216,1.760470397690263e-05,5.1752691139939274e-05,2.0194268866495687e-05
217,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
218,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
219,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
220,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
221,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
222,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
223,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
224,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
225,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
226,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
227,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
228,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
229,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
230,3.520940795380526e-05,1.7250897046646426e-05,4.0388537732991375e-05
231,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
232,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
233,5.2814111930707886e-05,6.90035881865857e-05,2.0194268866495687e-05
234,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
235,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
236,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
237,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
238,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
239,3.520940795380526e-05,8.625448523323213e-05,2.0194268866495687e-05
240,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
241,1.760470397690263e-05,1.7250897046646426e-05,4.0388537732991375e-05
242,3.520940795380526e-05,3.450179409329285e-05,2.0194268866495687e-05
243,1.760470397690263e-05,3.450179409329285e-05,2.0194268866495687e-05
244,3.520940795380526e-05,1.7250897046646426e-05,2.0194268866495687e-05
